('0', '1', '8', 'B') 64431
('0', '1', '8', 'C') 6536
('0', '1', '8', 'D') 124055
('0', '1', '8', 'E') 31621
('0', '1', '8', 'F') 134847
('0', '1', '9', '0') 26626
('0', '1', '9', '1') 13732
('0', '1', '9', '2') 2383
('0', '1', '9', '3') 4575
('0', '1', '9', '4') 16479
('0', '1', '9', '5') 21311
('0', '1', '9', '6') 2191
('0', '1', '9', '7') 43045
('0', '1', '9', '8') 59631
('0', '1', '9', '9') 66319
('0', '1', '9', 'A') 13617
('0', '1', '9', 'B') 6959
('0', '1', '9', 'C') 6415
('0', '1', '9', 'D') 153359
('0', '1', '9', 'E') 65945
('0', '1', '9', 'F') 8111
('0', '1', 'A', '0') 8874
('0', '1', 'A', '1') 33871
('0', '1', 'A', '2') 29055
('0', '1', 'A', '3') 194479
('0', '1', 'A', '4') 1857
('0', '1', 'A', '5') 20243
('0', '1', 'A', '6') 2479
('0', '1', 'A', '7') 11878
('0', '1', 'A', '8') 2743
('0', '1', 'A', '9') 15135
('0', '1', 'A', 'A') 23040
('0', '1', 'A', 'B') 2085
('0', '1', 'A', 'C') 7311
('0', '1', 'A', 'D') 337
('0', '1', 'A', 'E') 5049
('0', '1', 'A', 'F') 42455
('0', '1', 'B', '0') 15647
('0', '1', 'B', '1') 11993
('0', '1', 'B', '2') 7279
('0', '1', 'B', '3') 13919
('0', '1', 'B', '4') 1849
('0', '1', 'B', '5') 4095
('0', '1', 'B', '6') 48911
('0', '1', 'B', '7') 16069
('0', '1', 'B', '8') 180505
('0', '1', 'B', '9') 196645
('0', '1', 'B', 'A') 71136
('0', '1', 'B', 'B') 20159
('0', '1', 'B', 'C') 93535
('0', '1', 'B', 'D') 73231
('0', '1', 'B', 'E') 29359
('0', '1', 'B', 'F') 1919
('0', '1', 'C', '0') 60341
('0', '1', 'C', '1') 5057
('0', '1', 'C', '2') 14415
('0', '1', 'C', '3') 16512
('0', '1', 'C', '4') 3349
('0', '1', 'C', '5') 143055
('0', '1', 'C', '6') 329
('0', '1', 'C', '7') 99335
('0', '1', 'C', '8') 442
('0', '1', 'C', '9') 30771
('0', '1', 'C', 'A') 41119
('0', '1', 'C', 'B') 28688
('0', '1', 'C', 'C') 15073
('0', '1', 'C', 'D') 224415
('0', '1', 'C', 'E') 75783
('0', '1', 'C', 'F') 46431
('0', '1', 'D', '0') 3126
('0', '1', 'D', '1') 104143
