('1', '6', '3') 519
('1', '6', '4') 2643R
('1', '6', '5') 851
('1', '6', '6') 238
('1', '6', '7') 3355R
('1', '6', '8') 884R
('1', '6', '9') 550
('1', '6', 'A') 939
('1', '6', 'B') 1307
('1', '6', 'C') 219
('1', '6', 'D') 130
('1', '6', 'E') 3610R
('1', '6', 'F') 2506
('1', '7', '0') 1190R
('1', '7', '1') 12616
('1', '7', '2') 6946R
('1', '7', '3') 4910
('1', '7', '4') 2836R
('1', '7', '5') 2104R
('1', '7', '6') 861
('1', '7', '7') 1724
('1', '7', '8') 247R
('1', '7', '9') 126
('1', '7', 'A') 12049R
('1', '7', 'B') 1347
('1', '7', 'C') 2261R
('1', '7', 'D') 400R
('1', '7', 'E') 1605R
('1', '7', 'F') 2268
('1', '8', '0') 380
('1', '8', '1') 2436
('1', '8', '2') 3597R
('1', '8', '3') 538
('1', '8', '4') 2900
('1', '8', '5') 2613R
('1', '8', '6') 2087R
('1', '8', '7') 2838
('1', '8', '8') 6109
('1', '8', '9') 8877
('1', '8', 'A') 1760
('1', '8', 'B') 289
('1', '8', 'C') 1153R
('1', '8', 'D') 3824R
('1', '8', 'E') 458R
('1', '8', 'F') 4933
('1', '9', '0') 124R
('1', '9', '1') 1701
('1', '9', '2') 1192
('1', '9', '3') 217R
('1', '9', '4') 886
('1', '9', '5') 2306R
('1', '9', '6') 1096
('1', '9', '7') 356R
('1', '9', '8') 18
('1', '9', '9') 211
('1', '9', 'A') 2014R
('1', '9', 'B') 1948R
('1', '9', 'C') 3208
('1', '9', 'D') 1806R
('1', '9', 'E') 2108R
('1', '9', 'F') 3369
('1', 'A', '0') 787
('1', 'A', '1') 1834
('1', 'A', '2') 2929R
('1', 'A', '3') 378R
('1', 'A', '4') 209R
('1', 'A', '5') 5842R
('1', 'A', '6') 1240
('1', 'A', '7') 4521R
('1', 'A', '8') 847R
('1', 'A', '9') 635
('1', 'A', 'A') 11521
('1', 'A', 'B') 775
('1', 'A', 'C') 2977
('1', 'A', 'D') 170
('1', 'A', 'E') 495R
('1', 'A', 'F') 179
('1', 'B', '0') 339
('1', 'B', '1') 12408
('1', 'B', '2') 2281R
('1', 'B', '3') 1703
('1', 'B', '4') 12190
('1', 'B', '5') 669R
('1', 'B', '6') 614
('1', 'B', '7') 1020
('1', 'B', '8') 684
('1', 'B', '9') 6966R
('1', 'B', 'A') 474R
('1', 'B', 'B') 4834R
('1', 'B', 'C') 14250R
('1', 'B', 'D') 142
('1', 'B', 'E') 2106
('1', 'B', 'F') 140R
('1', 'C', '0') 1003
('1', 'C', '1') 2530
('1', 'C', '2') 3046R
('1', 'C', '3') 3008R
('1', 'C', '4') 1678
('1', 'C', '5') 921R
('1', 'C', '6') 753
('1', 'C', '7') 405R
('1', 'C', '8') 1707R
('1', 'C', '9') 3144R
('1', 'C', 'A') 1071R
('1', 'C', 'B') 4425
('1', 'C', 'C') 4931R
('1', 'C', 'D') 1694
('1', 'C', 'E') 1543
('1', 'C', 'F') 236R
('1', 'D', '0') 45
('1', 'D', '1') 12439
('1', 'D', '2') 1799
('1', 'D', '3') 695
('1', 'D', '4') 3814
('1', 'D', '5') 337R
('1', 'D', '6') 3999
('1', 'D', '7') 2999
('1', 'D', '8') 625
('1', 'D', '9') 3934R
('1', 'D', 'A') 3928R
('1', 'D', 'B') 143R
('1', 'D', 'C') 310
('1', 'D', 'D') 1481R
('1', 'D', 'E') 1619R
('1', 'D', 'F') 1784R
('1', 'E', '0') 1519R
('1', 'E', '1') 3048
('1', 'E', '2') 2671
('1', 'E', '3') 548R
('1', 'E', '4') 2668
('1', 'E', '5') 1743
('1', 'E', '6') 69
('1', 'E', '7') 1898
('1', 'E', '8') 177R
('1', 'E', '9') 744R
('1', 'E', 'A') 558
('1', 'E', 'B') 4917
('1', 'E', 'C') 1316
('1', 'E', 'D') 3436R
('1', 'E', 'E') 514R
('1', 'E', 'F') 3396R
('1', 'F', '0') 2532
('1', 'F', '1') 849
('1', 'F', '2') 227
('1', 'F', '3') 7883R
('1', 'F', '4') 3780R
('1', 'F', '5') 199R
('1', 'F', '6') 541
('1', 'F', '7') 3033R
('1', 'F', '8') 5899R
('1', 'F', '9') 746
('1', 'F', 'A') 1274
('1', 'F', 'B') 1577R
('1', 'F', 'C') 4005R
('1', 'F', 'D') 1384R
('1', 'F', 'E') 2896R
('1', 'F', 'F') 1441
('2', '0', '0') 732
('2', '0', '1') 4206
('2', '0', '2') 1991
('2', '0', '3') 677R
('2', '0', '4') 1256R
('2', '0', '5') 5787
('2', '0', '6') 1844
('2', '0', '7') 924
('2', '0', '8') 2388
